 COMMON DATA ,,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730
,,,,,,,,,,,,,,,,,No,Jenis Enclosure,CMC,Rentang RLK,,,,,,,,,Digital,1,year,365
,,50.14,50.3,-0.2,,86.28,90,-3.32,4.8,,,,,,,,17,Temperature Recorder,Graptech,CH17,LK-285-IDN,,,,,,,,,,,
4,TH-4,14.39,15,-0.65,1.7,28.77,30,-0.83,4.9,Inlab (Lab. Suhu),2025-09-11T00:00:00,2027-09-12T00:00:00,LK-285-IDN,,,,18,Temperature Recorder,Graptech,CH18,LK-285-IDN,,,,,,,,,,,
,,19.37,20,-0.59,,47.1,50,-2.5,4.8,,,,,,,,19,Temperature Recorder,Graptech,CH19,LK-285-IDN,,,,,,,,,,,
,,29.14,30,-0.82,,69.18,70,-1.22,4.8,,,,,,,,20,Temperature Recorder,Graptech,CH20,LK-285-IDN,,,,,,,,,,,
,,39.63,40,-0.41,,78.4,80,-1.8,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,50.13,50,0.13000000000000256,,87.26,85,-2.34,4.8,,,,,,,,,,,,,,,,,,,,,,,
5,TH-5,21.51,20.6,0.9100000000000001,1.8,29.8,31,-1.1999999999999993,4.9,Inlab (Flowmeter Instalation),2024-06-17T00:00:00,2024-06-18T00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,,,
,,26.61,25.8,0.8099999999999987,,49.5,50,-0.5,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,31.71,30.9,0.8100000000000023,,59.41,60,-0.5900000000000034,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,40.46,40,0.46000000000000085,,79.52,80,-0.480000000000004,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,51.24,50.8,0.44000000000000483,,84.81,85,-0.18999999999999773,4.8,,,,,,,,,,,,,,,,,,,,,,,
6,TH-6,14.64,15,-0.32,1.7,28.67,30,-1.3299999999999983,4.9,Insitu (Outsite),2025-09-11T00:00:00,2027-09-12T00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,,,
,,19.33,19.6,-0.23,,46.83,50,-3.1700000000000017,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,29.75,29.4,0.3500000000000014,,67.23,69,-2.17,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,39.34,39.1,0.2,,76.79,80,-2.81,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,49.95,49.2,0.73,,86.52,89,-2.88,4.8,,,,,,,,,,,,,,,,,,,,,,,
7,TH-7,15.32,15,0.36,1.7,29.27,30,-0.7300000000000004,4.9,Inlab (Lab. Gaya),2025-09-11T00:00:00,2027-09-12T00:00:00,LK-285-IDN,,,,,,,,,,,,,,,,,,,
,,20.36,20,0.4,,48.72,50,-0.88,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,30.27,30,0.31,,69.06,70,-0.54,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,40.78,40,0.7800000000000011,,77.54,80,-2.06,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,50.49,50,0.51,,86.4,89,-2.2,4.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Jenis Pengukuran,"Metode Kalibrasi
(Latest IK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Enclosure,SIDIK-IK-CAL-0501_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TITS,SIDIK-IK-CAL-0502_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TIDS,SIDIK-IK-CAL-0503_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pressure Gauge,SIDIK-IK-CAL-0504_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Timbangan,SIDIK-IK-CAL-0505-Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pH Meter,SIDIK-IK-CAL-0506_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Conductivity Meter,SIDIK-IK-CAL-0507_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Spectrophotometer,SIDIK-IK-CAL-0508_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Timer & Stopwatch,SIDIK-IK-CAL-0509_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Volumetrik,SIDIK-IK-CAL-0510_Rev.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Centrifuge & Tachometer,SIDIK-IK-CAL-0511_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kelistrikan,SIDIK-IK-CAL-0512_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gaya (UTM),SIDIK-IK-CAL-0513_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Load Cell & Proving Ring,SIDIK-IK-CAL-0514_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikrometer,SIDIK-IK-CAL-0515_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Refractometer,SIDIK-IK-CAL-0516_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Viscometer,SIDIK-IK-CAL-0517_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thermohygro,SIDIK-IK-CAL-0518_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dial Indicator,SIDIK-IK-CAL-0519_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jangka Sorong (Caliper),SIDIK-IK-CAL-0520_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Verifikasi Metode Kerja Kalibrasi,SIDIK-IK-CAL-0521_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Micropipette,Dispenser, & Piston Buret",SIDIK-IK-CAL-0522_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Turbidy Meter,SIDIK-IK-CAL-0523_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chlorine Meter,SIDIK-IK-CAL-0524_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hydrometer,SIDIK-IK-CAL-0525_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sieve Mesh,SIDIK-IK-CAL-0526_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thermometer Glass,SIDIK-IK-CAL-0527_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Flowmeter,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thermocouple,SIDIK-IK-CAL-0529_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DO Meter,SIDIK-IK-CAL-0530_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Autoclave,SIDIK-IK-CAL-0531_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Differential Pressure,SIDIK-IK-CAL-0532_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pressure Transmitter,SIDIK-IK-CAL-0533_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vacuum Gauge,SIDIK-IK-CAL-0534_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Validasi,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NS,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
